Player,Age,Team,minutes,Estimated Value
Myles Lewis-Skelly,18,Arsenal FC,959.0,€35.7M
Pervis Estupiñán,27,Brighton & Hove Albion,1952.0,€35.4M
André Onana,29,Manchester United,2790.0,€34.2M
Vitaliy Mykolenko,25,Everton FC,2542.0,€33.5M
Liam Delap,22,Ipswich Town,2344.0,€33M
Jarrad Branthwaite,22,Everton FC,2078.0,€32.9M
Joachim Andersen,28,Fulham FC,1953.0,€32.9M
Matty Cash,27,Aston Villa,1560.0,€32.8M
Bart Verbruggen,22,Brighton & Hove Albion,2700.0,€32M
Tyler Dibling,19,Southampton,1667.0,€32M
Leandro Trossard,30,Arsenal FC,2091.0,€31.8M
Jean-Philippe Mateta,27,Crystal Palace,2302.0,€31.7M
Rodrigo Bentancur,27,Tottenham,1428.0,€31.4M
Yoane Wissa,28,Brentford FC,2380.0,€31.4M
Lucas Bergvall,19,Tottenham,1112.0,€31.3M
Alex Iwobi,28,Fulham FC,2463.0,€31.2M
Facundo Buonanotte,20,Leicester City,1399.0,€31.1M
Nathan Collins,23,Brentford FC,2880.0,€30.7M
Wesley Fofana,24,Chelsea,1172.0,€30.4M
Jørgen Strand Larsen,25,Wolves,2314.0,€30.3M
Yves Bissouma,28,Tottenham,1210.0,€30M
Taylor Harwood-Bellis,23,Southampton,2390.0,€29.9M
Calvin Bassey,25,Fulham FC,2534.0,€29.9M
Aaron Wan-Bissaka,27,West Ham United,2704.0,€29.7M
Kevin Schade,23,Brentford FC,1845.0,€29.7M
André,23,Wolves,1997.0,€29.4M
Daniel Muñoz,28,Crystal Palace,2598.0,€28.9M
David Raya,29,Arsenal FC,2880.0,€28.7M
Mikkel Damsgaard,24,Brentford FC,2409.0,€28.6M
Leif Davis,25,Ipswich Town,2532.0,€28.4M
Dango Ouattara,23,Bournemouth,1685.0,€28.2M
Sander Berge,27,Fulham FC,1824.0,€27.9M
Keane Lewis-Potter,24,Brentford FC,2639.0,€27.3M
Lesley Ugochukwu,21,Southampton,1267.0,€27.1M
Dwight McNeil,25,Everton FC,1145.0,€27M
Evanilson,25,Bournemouth,1723.0,€26.9M
Sepp van den Berg,23,Brentford FC,2046.0,€26.4M
Maxence Lacroix,25,Crystal Palace,2486.0,€25.8M
Tomáš Souček,30,West Ham United,2150.0,€25.6M
Callum Hudson-Odoi,24,Nottingham Forest,2074.0,€25.4M
Jacob Greaves,24,Ipswich Town,1665.0,€25.4M
Wout Faes,27,Leicester City,2275.0,€25.3M
Mateo Kovačić,30,Manchester City,1857.0,€25.3M
Tyrick Mitchell,25,Crystal Palace,2582.0,€25.1M
Iliman Ndiaye,25,Everton FC,2039.0,€24.9M
Robert Sánchez,27,Chelsea,2340.0,€24.8M
